Код сотрудника,Не важные миссии,Полезные миссии,Очень полезные миссии,Выполнил Креативный класс,Выполнил HiPo,Выполнил HiPro,Выполнил Звезда департамента,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Эффективность,Всего миссий,Среднее миссий на сотрудника,Продуктивность сотрудника
SU104644,31,1,1,False,False,True,False,Отдел подготовки тендеров,Не указано,Не указано,Ведущий менеджер по работе с тендерами,True,"6 г., 1 мес.,22 дн.",Женский,29.0,False,33,20.005903574942604,0.1
SU104678,1,1,1,False,True,False,False,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,Не указано,Технический менеджер,True,"6 г., 1 мес.,15 дн.",Мужской,32.0,False,3,20.005903574942604,0.1
SU104859,6,7,6,True,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,Не указано,Эксперт,True,"6 г., 0 мес.,24 дн.",Мужской,39.0,True,19,20.005903574942604,0.68
SU104974,12,5,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,Не указано,Инженер,True,"6 г., 1 мес.,5 дн.",Мужской,30.0,False,17,20.005903574942604,0.25
SU104987,16,2,0,False,False,False,False,Департамент по работе с персоналом,отдел рекрутинга,Не указано,Ведущий HR-менеджер,True,"6 г., 1 мес.,6 дн.",Женский,44.0,False,18,20.005903574942604,0.1
SU104998,0,2,1,False,False,True,False,Департамент продаж и менеджмента проектов,Не указано,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,True,"6 г., 1 мес.,4 дн.",Мужской,30.0,False,3,20.005903574942604,0.15
SU105080,73,1,1,True,False,False,False,Департамент по работе с персоналом,отдел кадров,Не указано,Старший HR-менеджер,True,"6 г., 0 мес.,1 дн.",Женский,26.0,False,75,20.005903574942604,0.1
SU105218,6,3,6,False,False,False,False,Департамент по работе с персоналом,отдел рекрутинга,Не указано,"Ведущий HR-менеджер, Тимлид",True,"6 г., 0 мес.,29 дн.",Женский,26.0,False,15,20.005903574942604,0.48
SU105344,3,3,3,True,False,False,False,Департамент по работе с персоналом,Не указано,HR-партнеры,HR-партнер,True,"6 г., 0 мес.,27 дн.",Женский,28.0,False,9,20.005903574942604,0.31
SU105383,3,3,1,True,False,False,False,Департамент продаж и менеджмента проектов,Отдел расчётов с клиентами,Не указано,Ведущий специалист,True,"6 г., 0 мес.,24 дн.",Женский,27.0,False,7,20.005903574942604,0.2
SU105459,1,1,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Старший инженер-разработчик,True,"6 г., 0 мес.,24 дн.",Мужской,37.0,False,3,20.005903574942604,0.1
SU105478,13,1,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,True,"5 г., 1 мес.,12 дн.",Мужской,38.0,False,14,20.005903574942604,0.05
SU105649,1,4,1,True,False,False,False,Департамент бизнес-приложений,Не указано,Группа аналитиков по автоматизации бизнес-процессов,Старший консультант по внедрению бизнес-приложений,True,"6 г., 0 мес.,21 дн.",Мужской,27.0,False,6,20.005903574942604,0.25
SU105800,0,1,1,False,True,False,False,Департамент маркетинга,контакт-центр,Не указано,Ведущий оператор,True,"6 г., 0 мес.,16 дн.",Женский,26.0,False,2,20.005903574942604,0.1
SU105905,0,1,0,False,False,False,False,Администрация,Не указано,Не указано,Директор по маркетингу,True,"6 г., 0 мес.,15 дн.",Женский,43.0,False,1,20.005903574942604,0.05
SU106147,2,0,0,False,False,False,False,Отдел подготовки тендеров,Не указано,Не указано,Старший менеджер по работе с тендерами,True,"6 г., 0 мес.,3 дн.",Женский,34.0,False,2,20.005903574942604,0.0
SU106284,36,2,1,False,True,False,False,Отдел подготовки тендеров,Не указано,Не указано,Менеджер по работе с тендерами,True,"5 г., 11 мес.,1 дн.",Женский,28.0,False,39,20.005903574942604,0.15
SU106358,3,0,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа сметчиков,Ведущий инженер-сметчик,True,"5 г., 11 мес.,26 дн.",Женский,33.0,False,3,20.005903574942604,0.0
SU106418,1,3,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа разработки бизнес-приложений,Старший инженер-тестировщик,True,"5 г., 7 мес.,10 дн.",Женский,25.0,False,4,20.005903574942604,0.15
SU106438,121,1,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,Не указано,Финансовый аналитик,True,"5 г., 11 мес.,24 дн.",Женский,31.0,False,122,20.005903574942604,0.05
SU106458,0,7,3,True,True,False,True,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,True,"5 г., 11 мес.,24 дн.",Женский,30.0,False,10,20.005903574942604,0.51
SU106463,0,19,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Ведущий инженер-разработчик,True,"5 г., 11 мес.,24 дн.",Мужской,43.0,True,19,20.005903574942604,0.95
SU106541,36,1,1,True,False,True,False,Отдел подготовки тендеров,Не указано,Не указано,Старший менеджер по работе с тендерами,True,"5 г., 11 мес.,19 дн.",Женский,36.0,False,38,20.005903574942604,0.1
SU106683,39,10,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа управления проектами,Менеджер проектов,True,"5 г., 11 мес.,12 дн.",Мужской,30.0,False,49,20.005903574942604,0.5
SU106702,0,1,0,False,False,False,False,Департамент разработки программного обеспечения,"Практика ""Роботехника""",группа разработки робототехнических решений,Старший инженер-разработчик,True,"5 г., 11 мес.,13 дн.",Мужской,31.0,False,1,20.005903574942604,0.05
SU106741,0,11,1,False,False,True,False,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Старший инженер-разработчик,True,"5 г., 11 мес.,17 дн.",Женский,27.0,True,12,20.005903574942604,0.6
SU106846,1,0,2,False,False,True,False,Финансовый департамент,Не указано,группа финансовых партнеров,Финансовый партнёр,True,"5 г., 10 мес.,29 дн.",Женский,28.0,False,3,20.005903574942604,0.11
SU106862,113,15,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Ведущий системный инженер,True,"3 г., 0 мес.,15 дн.",Мужской,31.0,True,129,20.005903574942604,0.8
SU106878,140,44,1,True,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа администраторов проектов по ИТ-системам и программным решениям,Старший администратор проектов,True,"5 г., 11 мес.,11 дн.",Женский,36.0,True,185,20.005903574942604,2.25
SU106947,55,5,4,True,False,False,False,Департамент инфраструктурных решений и сервисов,Не указано,группа инженеров поддержки инфраструктурного ПО,Ведущий инженер,True,"5 г., 11 мес.,9 дн.",Мужской,27.0,False,64,20.005903574942604,0.47
SU107061,1,3,1,True,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,Не указано,Ведущий системный инженер,True,"5 г., 10 мес.,15 дн.",Мужской,34.0,False,5,20.005903574942604,0.2
SU107398,2,0,2,False,False,True,False,Административно-эксплуатационный департамент,Не указано,Не указано,Ведущий менеджер проектов офисного пространства,True,"5 г., 10 мес.,22 дн.",Женский,35.0,False,4,20.005903574942604,0.11
SU107733,7,1,2,True,False,True,False,Правовой департамент,группа комплексного сопровождения проектов,Не указано,Ведущий юрист,True,"5 г., 10 мес.,15 дн.",Женский,37.0,False,10,20.005903574942604,0.16
SU107759,0,3,2,False,False,False,False,Департамент бизнес-приложений,группа технических менеджеров по 1С,Не указано,Младший технический менеджер,True,"5 г., 10 мес.,14 дн.",Мужской,28.0,False,5,20.005903574942604,0.26
SU107761,140,28,0,False,False,False,False,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,Не указано,Ведущий инженер,True,"5 г., 10 мес.,15 дн.",Женский,39.0,True,168,20.005903574942604,1.4
SU107821,18,3,2,False,True,False,False,Департамент внутренней автоматизации,Не указано,группа автоматизации производственных процессов,Старший консультант по внедрению,True,"5 г., 10 мес.,15 дн.",Мужской,26.0,False,23,20.005903574942604,0.26
SU108238,7,2,2,True,False,False,False,Финансовый департамент,Не указано,отдел учета основных средств и нематериальных активов,"Ведущий бухгалтер, Тимлид",True,"5 г., 10 мес.,8 дн.",Женский,29.0,False,11,20.005903574942604,0.21
SU108521,0,0,1,True,False,False,False,Правовой департамент,группа комплексного сопровождения проектов,Не указано,Руководитель группы,True,"5 г., 9 мес.,1 дн.",Женский,37.0,False,1,20.005903574942604,0.05
SU108560,0,1,1,True,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа отраслевых решений,Менеджер по продвижению бизнес-решений,True,"5 г., 9 мес.,11 дн.",Мужской,31.0,False,2,20.005903574942604,0.1
SU108638,0,5,1,False,False,True,False,Департамент внутренней автоматизации,Не указано,группа аналитиков,Старший системный аналитик,True,"5 г., 9 мес.,16 дн.",Женский,28.0,False,6,20.005903574942604,0.3
SU108799,0,1,0,False,False,False,False,Отдел дизайна,Не указано,Не указано,Старший дизайнер,True,"5 г., 9 мес.,10 дн.",Женский,38.0,False,1,20.005903574942604,0.05
SU109788,6,16,1,False,False,True,False,Департамент разработки программного обеспечения,Государственные информационные системы,росстат.группа тестировщиков,Старший инженер-тестировщик,True,"5 г., 9 мес.,4 дн.",Женский,29.0,True,23,20.005903574942604,0.85
SU110106,6,1,1,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,Не указано,Ведущий системный инженер,True,"5 г., 8 мес.,21 дн.",Мужской,40.0,False,8,20.005903574942604,0.1
SU110187,1,2,1,False,True,False,False,Департамент инженерных и мультимедийных систем,Не указано,Не указано,Руководитель направления,True,"5 г., 8 мес.,25 дн.",Мужской,31.0,False,4,20.005903574942604,0.15
SU110211,66,9,1,False,True,False,False,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,Не указано,Ведущий инженер,True,"5 г., 8 мес.,21 дн.",Мужской,37.0,False,76,20.005903574942604,0.5
SU110288,136,21,2,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,Не указано,Младший технический менеджер,True,"5 г., 8 мес.,1 дн.",Мужской,28.0,True,159,20.005903574942604,1.16
SU110366,2,2,1,False,True,False,False,Департамент внутренней автоматизации,Не указано,группа аналитиков,Старший системный аналитик,True,"5 г., 8 мес.,24 дн.",Женский,27.0,False,5,20.005903574942604,0.15
SU110473,1,8,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Старший инженер-разработчик,True,"5 г., 8 мес.,30 дн.",Мужской,27.0,False,9,20.005903574942604,0.4
SU111069,2,18,2,False,True,False,False,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Консультант по внедрению,True,"5 г., 8 мес.,19 дн.",Мужской,29.0,True,22,20.005903574942604,1.01
SU111329,1,20,0,False,False,False,False,Департамент маркетинга,группа переводов,Не указано,Переводчик,True,"5 г., 8 мес.,14 дн.",Женский,32.0,True,21,20.005903574942604,1.0
SU111574,2,12,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа аналитиков,Старший системный аналитик,True,"5 г., 8 мес.,14 дн.",Мужской,27.0,True,14,20.005903574942604,0.6
SU1118,53,1,1,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,True,"11 г., 11 мес.,26 дн.",Мужской,35.0,False,55,20.005903574942604,0.1
SU112065,16,1,3,False,False,True,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа специалистов поддержки ИТ-инфраструктур,Инженер,True,"5 г., 3 мес.,7 дн.",Мужской,25.0,False,20,20.005903574942604,0.21
SU112309,5,6,2,False,False,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Эксперт,True,"5 г., 7 мес.,21 дн.",Мужской,38.0,False,13,20.005903574942604,0.41
SU112349,23,4,2,False,False,True,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Специалист по продвижению решений,True,"5 г., 8 мес.,6 дн.",Женский,25.0,False,29,20.005903574942604,0.31
SU112629,0,9,0,True,False,False,False,Департамент внутренней автоматизации,Не указано,группа аналитиков 1С,Старший системный аналитик,True,"5 г., 7 мес.,14 дн.",Женский,27.0,False,9,20.005903574942604,0.45
SU112713,1,16,1,False,False,True,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами и поддержки продаж,Менеджер проектов,True,"5 г., 7 мес.,30 дн.",Мужской,30.0,True,18,20.005903574942604,0.85
SU112835,0,13,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Инженер-тестировщик,True,"5 г., 7 мес.,21 дн.",Женский,28.0,True,13,20.005903574942604,0.65
SU113189,15,6,5,False,True,False,False,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,Не указано,Инженер,True,"5 г., 7 мес.,21 дн.",Мужской,29.0,True,26,20.005903574942604,0.57
SU113589,2,2,0,False,False,False,False,Склад,Не указано,Не указано,Кладовщик,True,"4 г., 8 мес.,3 дн.",Мужской,37.0,False,4,20.005903574942604,0.1
SU114329,0,4,0,False,False,False,False,Департамент разработки программного обеспечения,Интеграционные решения,группа разработки,Старший инженер-разработчик,True,"5 г., 7 мес.,7 дн.",Женский,30.0,False,4,20.005903574942604,0.2
SU114389,0,1,0,False,False,False,False,Департамент по работе с персоналом,Не указано,HR-партнеры,HR-партнер,True,"5 г., 4 мес.,1 дн.",Женский,33.0,False,1,20.005903574942604,0.05
SU114390,5,5,3,True,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по вычислительной инфраструктуре ЦОД,"Старший менеджер проектов, Тимлид",True,"5 г., 6 мес.,17 дн.",Женский,31.0,False,13,20.005903574942604,0.41
SU114451,6,5,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"5 г., 7 мес.,7 дн.",Мужской,30.0,False,11,20.005903574942604,0.25
SU114850,0,1,1,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по комплексным продажам,True,"5 г., 6 мес.,10 дн.",Мужской,46.0,False,2,20.005903574942604,0.1
SU1151,1,2,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа технических менеджеров,Младший технический менеджер,True,"19 г., 10 мес.,15 дн.",Женский,42.0,False,3,20.005903574942604,0.1
SU115349,1,1,1,False,False,True,False,Департамент по работе с персоналом,отдел рекрутинга,Не указано,Ведущий HR-менеджер,True,"5 г., 6 мес.,23 дн.",Женский,37.0,False,3,20.005903574942604,0.1
SU115549,2,16,0,False,False,False,False,Департамент бизнес-приложений,Не указано,группа консультантов по финансам,Ведущий консультант по внедрению бизнес-приложений,True,"3 г., 4 мес.,9 дн.",Женский,40.0,True,18,20.005903574942604,0.8
SU1156,0,1,0,False,False,False,False,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,Не указано,Диспетчер,True,"16 г., 4 мес.,20 дн.",Мужской,43.0,False,1,20.005903574942604,0.05
SU115729,14,19,0,False,False,False,False,Департамент телекоммуникаций,Сервис,Инженеры технической поддержки (аутсорсинг),Инженер технической поддержки,True,"5 г., 6 мес.,24 дн.",Мужской,37.0,True,33,20.005903574942604,0.95
SU115929,10,2,0,False,False,False,False,Департамент продаж и менеджмента проектов,Отдел расчётов с клиентами,Не указано,Старший специалист,True,"5 г., 6 мес.,20 дн.",Женский,27.0,False,12,20.005903574942604,0.1
SU116169,13,15,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,Не указано,Системный инженер,True,"5 г., 6 мес.,17 дн.",Мужской,34.0,True,28,20.005903574942604,0.75
SU116189,8,10,2,False,False,False,False,Департамент маркетинга,группа маркетологов,Не указано,Менеджер по маркетингу,True,"5 г., 6 мес.,22 дн.",Женский,28.0,True,20,20.005903574942604,0.61
SU116509,2,7,3,False,True,False,True,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по телекоммуникациям,Старший менеджер проектов,True,"5 г., 6 мес.,3 дн.",Мужской,33.0,False,12,20.005903574942604,0.51
SU1166,20,7,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Ведущий инженер-разработчик,True,"20 г., 8 мес.,16 дн.",Мужской,49.0,False,27,20.005903574942604,0.35
SU117509,0,3,0,False,False,False,False,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",Не указано,Инженер,True,"5 г., 6 мес.,9 дн.",Мужской,28.0,False,3,20.005903574942604,0.15
SU117590,0,1,0,False,False,False,False,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,Не указано,Инженер-диспетчер,True,"5 г., 6 мес.,6 дн.",Мужской,35.0,False,1,20.005903574942604,0.05
SU117735,9,0,1,False,True,False,False,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",Не указано,Технический менеджер,True,"5 г., 6 мес.,2 дн.",Мужской,40.0,False,10,20.005903574942604,0.05
SU117873,2,2,2,True,False,True,False,Департамент телекоммуникаций,Не указано,группа технических менеджеров,Технический менеджер,True,"5 г., 5 мес.,12 дн.",Мужской,38.0,False,6,20.005903574942604,0.21
SU117878,10,2,0,False,False,False,False,Департамент по работе с персоналом,Не указано,отдел обучения,Ведущий менеджер по корпоративному обучению,True,"5 г., 5 мес.,12 дн.",Женский,33.0,False,12,20.005903574942604,0.1
SU117892,23,43,1,True,False,False,False,Департамент инженерных и мультимедийных систем,Технические менеджеры по мультимедийным системам,Не указано,Технический менеджер,True,"5 г., 5 мес.,5 дн.",Мужской,31.0,True,67,20.005903574942604,2.2
SU117930,1,1,1,True,False,False,False,Отдел подготовки тендеров,Не указано,Не указано,Ведущий менеджер по работе с тендерами,True,"5 г., 5 мес.,30 дн.",Мужской,35.0,False,3,20.005903574942604,0.1
SU117969,0,9,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа управления проектами,Менеджер проектов,True,"5 г., 5 мес.,26 дн.",Женский,34.0,False,9,20.005903574942604,0.45
SU118,0,5,1,False,False,False,False,Департамент телекоммуникаций,Не указано,Группа поддержки продаж сетевых решений,Менеджер по работе с партнерами,True,"19 г., 7 мес.,16 дн.",Женский,42.0,False,6,20.005903574942604,0.3
SU118029,6,14,0,False,False,False,False,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Старший инженер,True,"5 г., 5 мес.,26 дн.",Мужской,39.0,True,20,20.005903574942604,0.7
SU118129,0,10,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Старший инженер-разработчик,True,"4 г., 10 мес.,10 дн.",Мужской,26.0,False,10,20.005903574942604,0.5
SU118317,28,3,0,False,False,False,False,Департамент разработки программного обеспечения,Продуктовый офис,Не указано,Менеджер по продвижению решений,True,"5 г., 4 мес.,15 дн.",Мужской,33.0,False,31,20.005903574942604,0.15
SU118753,1,1,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами и поддержки продаж,Менеджер проектов,True,"5 г., 4 мес.,15 дн.",Мужской,30.0,False,2,20.005903574942604,0.05
