Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст
SU197418,Департамент маркетинга,контакт-центр,,Оператор,нет,"1 г., 1 мес.,14 дн.",Женский,21
SU199764,Департамент разработки программного обеспечения,Продуктовый офис,,Менеджер по продвижению решений,нет,"0 г., 1 мес.,7 дн.",Мужской,29
SU196732,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"1 г., 4 мес.,26 дн.",Мужской,27
SU196835,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Младший менеджер проектов,нет,"1 г., 4 мес.,12 дн.",Мужской,32
SU199806,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Стажер,нет,"0 г., 1 мес.,5 дн.",Женский,21
SU168524,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"3 г., 2 мес.,16 дн.",Мужской,27
SU199332,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Специалист по продвижению решений,нет,"0 г., 2 мес.,26 дн.",Женский,23
SU150221,Департамент телекоммуникаций,,группа технических менеджеров,Технический менеджер,нет,"4 г., 1 мес.,11 дн.",Мужской,38
SU178358,Департамент телекоммуникаций,Сервис,Первая линия,Инженер технической поддержки,нет,"2 г., 10 мес.,30 дн.",Мужской,30
SU199234,Департамент по работе с персоналом,,Развитие бренда работодателя,Стажер,нет,"0 г., 3 мес.,22 дн.",Мужской,19
SU75375,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-диспетчер,нет,"8 г., 10 мес.,29 дн.",Мужской,45
SU199892,Департамент внутренней автоматизации,,центральная служба технической поддержки,Стажер,нет,"0 г., 0 мес.,23 дн.",Женский,19
SU99248,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Аналитик,нет,"6 г., 7 мес.,29 дн.",Женский,26
SU188408,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Руководитель группы,РМ,"2 г., 3 мес.,13 дн.",Мужской,38
SU197667,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Младший инженер-разработчик,нет,"1 г., 0 мес.,16 дн.",Мужской,22
SU179551,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-электрик,нет,"2 г., 10 мес.,19 дн.",Мужской,64
SU197268,Департамент разработки программного обеспечения,"Практика ""Роботехника""",группа разработки робототехнических решений,Младший инженер-разработчик,нет,"1 г., 2 мес.,7 дн.",Женский,22
SU199960,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"0 г., 0 мес.,17 дн.",Женский,23
SU199566,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Стажер,нет,"0 г., 2 мес.,17 дн.",Мужской,21
SU198038,Департамент маркетинга,группа внешних коммуникаций,,Младший менеджер по внешним коммуникациям,нет,"0 г., 9 мес.,14 дн.",Мужской,22
SU121970,Финансовый департамент,,отдел по расчету с персоналом,Ведущий экономист,нет,"5 г., 3 мес.,14 дн.",Женский,28
SU107821,Департамент внутренней автоматизации,,группа автоматизации производственных процессов,Старший консультант по внедрению,нет,"5 г., 10 мес.,15 дн.",Мужской,26
SU197421,Департамент инженерных и мультимедийных систем,Технические менеджеры по мультимедийным системам,,Технический менеджер,нет,"1 г., 1 мес.,13 дн.",Мужской,36
SU199832,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Стажер,нет,"0 г., 0 мес.,31 дн.",Мужской,22
SU199233,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Инженер,нет,"0 г., 3 мес.,15 дн.",Мужской,36
SU166390,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Инженер-разработчик,нет,"3 г., 2 мес.,9 дн.",Женский,22
SU198054,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Инженер,нет,"0 г., 9 мес.,15 дн.",Мужской,34
SU69289,Финансовый департамент,,группа финансовых партнеров,Финансовый партнёр,нет,"11 г., 0 мес.,16 дн.",Женский,32
SU149742,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Ведущий инженер,нет,"4 г., 1 мес.,22 дн.",Мужской,36
SU199652,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Стажер,нет,"0 г., 1 мес.,29 дн.",Женский,20
SU56641,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,"Эксперт, Тимлид",ТЛ,"11 г., 1 мес.,18 дн.",Мужской,31
SU199072,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа аналитиков,Стажер,нет,"0 г., 4 мес.,22 дн.",Мужской,20
SU199897,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,,Системный аналитик,нет,"0 г., 0 мес.,11 дн.",Мужской,29
SU83894,Департамент внутренней автоматизации,,центральная служба технической поддержки,Ведущий инженер технической поддержки,нет,"8 г., 11 мес.,28 дн.",Женский,32
SU198939,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Стажер,нет,"0 г., 5 мес.,11 дн.",Женский,20
SU196214,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Младший инженер,нет,"1 г., 8 мес.,19 дн.",Мужской,24
SU199869,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Технический писатель,нет,"0 г., 0 мес.,31 дн.",Женский,35
SU44374,Департамент телекоммуникаций,,группа сетевых решений,Эксперт,нет,"13 г., 5 мес.,14 дн.",Мужской,45
SU197835,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Менеджер по продвижению решений,РМ,"0 г., 11 мес.,12 дн.",Женский,26
SU93511,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа разработчиков,Ведущий инженер-разработчик,нет,"7 г., 2 мес.,17 дн.",Мужской,34
SU174745,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Ведущий системный инженер,нет,"3 г., 0 мес.,5 дн.",Мужской,35
SU142070,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Ведущий сервис-менеджер,нет,"4 г., 6 мес.,25 дн.",Мужской,33
SU199098,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,,Специалист по продвижению решений,нет,"0 г., 4 мес.,12 дн.",Женский,26
SU172721,Департамент телекоммуникаций,Сервис,Инженеры технической поддержки (аутсорсинг),Инженер технической поддержки,нет,"3 г., 1 мес.,22 дн.",Мужской,24
SU40476,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы""",Технический менеджер,ТЛ,"14 г., 3 мес.,24 дн.",Мужской,37
SU199868,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"0 г., 1 мес.,2 дн.",Женский,19
SU3200,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Ведущий консультант по внедрению бизнес-приложений,нет,"15 г., 6 мес.,8 дн.",Женский,40
SU199040,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Старший системный инженер,нет,"0 г., 4 мес.,28 дн.",Мужской,41
SU196715,Департамент бизнес-приложений,,группа консультантов по производству,Ведущий консультант по внедрению бизнес-приложений,нет,"1 г., 4 мес.,26 дн.",Мужской,39
SU196770,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Инженер-разработчик,нет,"1 г., 4 мес.,16 дн.",Мужской,22
SU137063,Департамент по работе с персоналом,,HR-партнеры,HR-партнер,нет,"4 г., 5 мес.,23 дн.",Женский,35
SU3169,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Менеджер по тестированию,нет,"21 г., 0 мес.,3 дн.",Женский,40
SU196334,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий инженер-разработчик,нет,"1 г., 7 мес.,19 дн.",Мужской,39
SU198454,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Младший инженер-разработчик,нет,"0 г., 6 мес.,30 дн.",Мужской,22
SU196818,Департамент внутренней автоматизации,,центральная служба технической поддержки,Инженер технической поддержки,нет,"1 г., 4 мес.,17 дн.",Мужской,22
SU199933,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Младший администратор проектов,нет,"0 г., 0 мес.,11 дн.",Женский,25
SU198784,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Стажер,нет,"0 г., 6 мес.,6 дн.",Мужской,21
SU199602,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Стажер,нет,"0 г., 1 мес.,23 дн.",Мужской,20
SU41637,Департамент маркетинга,группа цифрового маркетинга,,Ведущий менеджер по цифровому маркетингу,нет,"13 г., 11 мес.,28 дн.",Женский,39
SU36663,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Старший сервис-менеджер,нет,"14 г., 10 мес.,4 дн.",Женский,39
SU199443,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа маркетинга,Менеджер по маркетингу,нет,"0 г., 3 мес.,2 дн.",Женский,27
SU126465,Департамент продаж и менеджмента проектов,,группа управления проектами по построению корпоративных систем,Младший менеджер проектов,нет,"5 г., 1 мес.,26 дн.",Мужской,29
SU199563,Департамент телекоммуникаций,Сервис,Первая линия,Стажер,нет,"0 г., 2 мес.,10 дн.",Мужской,20
SU125970,Департамент продаж и менеджмента проектов,,группа управления проектами по разработке программных решений,Младший менеджер проектов,нет,"5 г., 2 мес.,10 дн.",Мужской,28
SU174473,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Инженер,нет,"0 г., 1 мес.,16 дн.",Мужской,28
SU159836,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Ведущий инженер-разработчик,нет,"3 г., 7 мес.,16 дн.",Мужской,25
SU196133,Департамент маркетинга,группа внешних коммуникаций,,Выпускающий редактор,нет,"1 г., 8 мес.,18 дн.",Мужской,59
SU198277,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Специалист по продвижению решений,нет,"0 г., 8 мес.,6 дн.",Женский,33
SU3207,Финансовый департамент,расчетно-аналитическая группа по вопросам экономики и финансов бизнеса,,Бухгалтер,нет,"17 г., 10 мес.,10 дн.",Женский,64
SU190623,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Старший инженер технической поддержки,нет,"2 г., 1 мес.,20 дн.",Мужской,26
SU198060,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа тех.поддержки",Младший инженер технической поддержки,нет,"0 г., 9 мес.,9 дн.",Женский,32
SU99836,Правовой департамент,группа комплексного сопровождения проектов,,Ведущий юрист,нет,"6 г., 6 мес.,29 дн.",Мужской,29
SU197014,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Дежурный инженер ЦОД,нет,"1 г., 3 мес.,8 дн.",Мужской,23
SU439,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Ведущий системный инженер,нет,"21 г., 11 мес.,30 дн.",Мужской,41
SU108260,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа разработчиков",Ведущий инженер-разработчик,нет,"5 г., 10 мес.,8 дн.",Мужской,26
SU197750,Департамент продаж и менеджмента проектов,,группа сметчиков,Инженер-сметчик,нет,"0 г., 11 мес.,11 дн.",Женский,35
SU199132,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"0 г., 3 мес.,30 дн.",Мужской,32
SU197785,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Инженер-разработчик,нет,"0 г., 11 мес.,18 дн.",Мужской,28
SU168659,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Старший инженер технической поддержки,нет,"3 г., 1 мес.,19 дн.",Мужской,26
SU196482,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"1 г., 6 мес.,26 дн.",Мужской,33
SU271,Финансовый департамент,,группа финансовых партнеров,Финансовый партнёр,нет,"18 г., 7 мес.,5 дн.",Женский,40
SU3210,Финансовый департамент,,отдел по расчету с персоналом,Эксперт по организации деловых поездок,нет,"21 г., 0 мес.,3 дн.",Женский,43
SU197406,Департамент по работе с персоналом,отдел рекрутинга,,HR-менеджер,нет,"1 г., 1 мес.,20 дн.",Женский,25
SU199736,Департамент продаж и менеджмента проектов,,группа администраторов проектов по инженерным и мультимедийным системам,Специалист,нет,"0 г., 1 мес.,16 дн.",Женский,23
SU274,Департамент телекоммуникаций,,Группа поддержки продаж сетевых решений,Руководитель направления,РМ,"17 г., 6 мес.,23 дн.",Мужской,45
SU95276,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа тестировщиков,Инженер-тестировщик,нет,"6 г., 11 мес.,25 дн.",Женский,29
SU82781,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Старший инженер-разработчик,нет,"9 г., 1 мес.,2 дн.",Мужской,33
SU130464,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Инженер,нет,"5 г., 0 мес.,9 дн.",Мужской,37
SU40427,Транспортный отдел,,Группа обслуживания и сервиса,"Водитель, Администратор",нет,"14 г., 2 мес.,29 дн.",Мужской,47
SU199831,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Главный инженер,нет,"0 г., 0 мес.,11 дн.",Мужской,36
SU197373,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Менеджер проектов,нет,"1 г., 1 мес.,26 дн.",Мужской,26
SU67226,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы""",Технический менеджер,ТЛ,"11 г., 3 мес.,7 дн.",Мужской,41
SU149461,Департамент продаж и менеджмента проектов,Отдел расчётов с клиентами,,Специалист по ведению документооборота,нет,"4 г., 1 мес.,1 дн.",Женский,23
SU2676,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"19 г., 9 мес.,25 дн.",Мужской,45
SU177099,Финансовый департамент,,отдел по расчету с персоналом,Старший экономист,нет,"2 г., 10 мес.,30 дн.",Женский,26
SU197303,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Младший инженер-разработчик,нет,"1 г., 2 мес.,3 дн.",Мужской,37
SU199863,Департамент по работе с персоналом,,отдел корпоративной культуры и внутренних коммуникаций,Младший менеджер по развитию корпоративной культуры,нет,"0 г., 0 мес.,18 дн.",Женский,23
SU172282,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа разработчиков",Младший инженер-разработчик,нет,"3 г., 1 мес.,23 дн.",Мужской,23
SU86906,Правовой департамент,группа комплексного сопровождения проектов,,Ведущий юрист,нет,"8 г., 5 мес.,14 дн.",Мужской,32
SU131809,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа аналитиков",Младший системный аналитик,нет,"5 г., 0 мес.,2 дн.",Мужской,30
SU75447,Финансовый департамент,отдел расчетов с подрядчиками и учета затрат,,Старший бухгалтер,нет,"9 г., 11 мес.,28 дн.",Женский,32
SU96090,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Технический менеджер,нет,"6 г., 10 мес.,24 дн.",Мужской,27
SU199840,Административно-эксплуатационный департамент,Административный отдел,курьеры,Курьер,нет,"0 г., 1 мес.,7 дн.",Мужской,19
SU1225,Департамент разработки программного обеспечения,,группа развития бизнеса,Финансовый аналитик,нет,"21 г., 1 мес.,6 дн.",Женский,43
SU193701,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-диспетчер,нет,"1 г., 11 мес.,25 дн.",Мужской,47
SU197939,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Младший консультант по внедрению,нет,"0 г., 10 мес.,7 дн.",Женский,21
SU199266,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Стажер,нет,"0 г., 3 мес.,23 дн.",Мужской,22
SU164709,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Старший дежурный инженер ЦОД,нет,"3 г., 3 мес.,24 дн.",Мужской,23
SU95644,Департамент внутренней автоматизации,,группа системных администраторов,Инженер,нет,"6 г., 11 мес.,5 дн.",Мужской,29
SU197457,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 1 мес.,7 дн.",Мужской,21
SU179099,Департамент инженерных и мультимедийных систем,,монтажники,Монтажник,нет,"2 г., 10 мес.,19 дн.",Мужской,42
SU166880,Департамент телекоммуникаций,,Группа поддержки продаж сетевых решений,Специалист по продвижению решений,нет,"3 г., 2 мес.,23 дн.",Женский,24
SU88853,Департамент продаж и менеджмента проектов,,группа администраторов проектов по ИТ-системам и программным решениям,Ведущий администратор проектов,нет,"8 г., 1 мес.,25 дн.",Женский,35
SU2802,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"18 г., 0 мес.,23 дн.",Мужской,50
SU175059,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,"Старший системный инженер, Тимлид",ТЛ,"2 г., 11 мес.,30 дн.",Мужской,32
SU441,Химкинское обособленное подразделение,,,Инженер,нет,"18 г., 0 мес.,9 дн.",Мужской,46
SU67166,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа разработчиков",Ведущий инженер-разработчик,нет,"10 г., 1 мес.,24 дн.",Мужской,38
SU152463,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Ведущий консультант по внедрению бизнес-приложений,нет,"4 г., 0 мес.,6 дн.",Мужской,41
SU197608,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Системный аналитик,нет,"1 г., 0 мес.,23 дн.",Женский,25
SU199228,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Стажер,нет,"0 г., 3 мес.,28 дн.",Мужской,21
SU56530,Департамент инженерных и мультимедийных систем,,монтажники,Монтажник,нет,"11 г., 6 мес.,5 дн.",Мужской,49
SU157359,Департамент бизнес-приложений,,группа консультантов по финансам,Ведущий консультант по внедрению бизнес-приложений,нет,"3 г., 8 мес.,27 дн.",Мужской,37
SU3176,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Ведущий инженер-тестировщик,нет,"17 г., 10 мес.,21 дн.",Женский,37
SU198349,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Младший инженер технической поддержки,нет,"0 г., 8 мес.,3 дн.",Мужской,23
SU180164,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа управления облачными проектами,Менеджер облачных проектов,нет,"2 г., 5 мес.,28 дн.",Мужской,23
SU3218,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Менеджер проектов по качеству,нет,"19 г., 7 мес.,16 дн.",Женский,42
SU192821,Департамент бизнес-приложений,,группа консультантов по финансам,Ведущий консультант по внедрению бизнес-приложений,нет,"2 г., 0 мес.,14 дн.",Мужской,38
SU188139,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Эксперт,нет,"2 г., 3 мес.,24 дн.",Мужской,47
SU163954,Департамент по работе с персоналом,отдел рекрутинга,,Старший HR-менеджер,нет,"3 г., 4 мес.,25 дн.",Женский,25
SU171624,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Системный инженер,нет,"3 г., 1 мес.,11 дн.",Женский,23
SU162829,Департамент внутренней автоматизации,,группа аналитиков,Системный аналитик,нет,"3 г., 5 мес.,13 дн.",Женский,30
SU199638,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Ведущий системный инженер,нет,"0 г., 1 мес.,16 дн.",Мужской,40
SU199445,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Младший инженер технической поддержки,нет,"0 г., 3 мес.,3 дн.",Мужской,21
SU40847,Департамент бизнес-приложений,группа поддержки продаж,,"Менеджер по продвижению решений, Тимлид",ТЛ,"6 г., 0 мес.,27 дн.",Женский,35
SU197057,Департамент по работе с персоналом,,Корпоративная культура,Менеджер по развитию корпоративной культуры,нет,"1 г., 3 мес.,7 дн.",Женский,23
SU157841,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,,Менеджер по продвижению решений,нет,"3 г., 8 мес.,10 дн.",Мужской,36
SU199273,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Эксперт,нет,"0 г., 3 мес.,10 дн.",Мужской,38
SU4123,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"15 г., 7 мес.,2 дн.",Мужской,44
SU43016,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"13 г., 8 мес.,24 дн.",Мужской,43
SU199036,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа инженеров разработки облака,Старший инженер,нет,"0 г., 4 мес.,20 дн.",Мужской,37
SU72986,Департамент разработки программного обеспечения,Интеграционные решения,,Технический менеджер,нет,"10 г., 2 мес.,30 дн.",Мужской,31
