Код сотрудника,Департамент,Баланс,Кол-во дней работы,Контейнер
SU104987,ДРП.отдел рекрутинга,1005.0,3,"Корпоративная жизнь КРОК, Я и КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Другое"
SU104998,ДПМП.группа менеджеров по работе с корпоративными клиентами,1460.0,3,"Другое, Проектный опыт, Поиск и развитие талантов, Корпоративная жизнь КРОК, Я и КРОК"
SU105080,ДРП.отдел кадров,2270.0,5,"Квест 15-19 июля, Корпоративная жизнь КРОК, Другое, Поиск и развитие талантов, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы, Я и КРОК"
SU105088,ДБП.группа аналитиков по автоматизации бизнес-процессов,200.0,4,Проектный опыт
SU105218,ДРП.отдел рекрутинга,3500.0,4,"Вклад в ИТ-образование, Croc Voices, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Я и КРОК, Поиск и развитие талантов, Другое"
SU105344,ДРП.HR-партнеры,3375.0,5,"Обмен опытом и повышение экспертизы, Другое, Поиск и развитие талантов, Вклад в ИТ-образование, Корпоративная жизнь КРОК, Я и КРОК"
SU105383,ДПМП.ОРК,1240.0,3,"Обмен опытом и повышение экспертизы, Другое, Я и КРОК, Поиск и развитие талантов, Корпоративная жизнь КРОК"
SU105459,ДИРС.Облачные сервисы.группа веб разработки облака,1355.0,2,"Поиск и развитие талантов, Корпоративная жизнь КРОК, Другое, Я и КРОК"
SU105478,ДПМП.группа менеджеров по работе с корпоративными клиентами,940.0,1,"Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы, Я и КРОК"
SU105538,ДИРС.группа инженеров по вычислительной инфраструктуре,240.0,2,"Проектный опыт, Другое"
SU105539,ДРПО.группа системных инженеров,755.0,5,"Проектный опыт, Поиск и развитие талантов, Корпоративная жизнь КРОК"
SU105649,ДБП.группа аналитиков по автоматизации бизнес-процессов,1655.0,5,"Проектный опыт, Корпоративная жизнь КРОК, Другое, Поиск и развитие талантов, Я и КРОК"
SU105800,ДМ.контакт-центр,1150.0,2,"Я и КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы"
SU105905,Администрация,200.0,1,Я и КРОК
SU106146,ФД.группа финансовых партнеров,15.0,1,Другое
SU106147,Отдел подготовки тендеров,80.0,2,"Другое, Корпоративная жизнь КРОК"
SU106284,Отдел подготовки тендеров,955.0,2,"Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Поиск и развитие талантов, Другое"
SU106358,ДПМП.группа сметчиков,70.0,2,"Корпоративная жизнь КРОК, Проектный опыт"
SU106418,ДВА.группа разработки бизнес-приложений,470.0,2,"Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК"
SU106438,ДИРС.группа развития бизнеса,1665.0,2,"Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Поиск и развитие талантов, Другое"
SU106458,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,3785.0,3,"Проектный опыт, Поиск и развитие талантов, Другое, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК"
SU106463,ДИРС.Разработка инфраструктурных продуктов.группа разработки СУБД,1750.0,34,Проектный опыт
SU106541,Отдел подготовки тендеров,1565.0,3,"Корпоративная жизнь КРОК, Другое, Поиск и развитие талантов"
SU106683,ДВА.группа управления проектами,965.0,14,"Корпоративная жизнь КРОК, Проектный опыт, Другое"
SU106702,"ДРПО.Практика ""Роботехника"".группа разработки робототехнических решений",150.0,1,Ускорение бизнес-процессов
SU106741,ДРПО.ГИС.росстат. группа разработчиков,1500.0,14,"Проектный опыт, Поиск и развитие талантов, Вклад в ИТ-образование"
SU106846,ФД.группа финансовых партнеров,1660.0,1,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое"
SU106862,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,2900.0,21,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Для новых сотрудников"
SU106878,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,12370.0,29,"Корпоративная жизнь КРОК, Другое, Проектный опыт, Поиск и развитие талантов, Ускорение бизнес-процессов"
SU106947,ДИРС.группа инженеров поддержки инфраструктурного ПО,6300.0,10,"Корпоративная жизнь КРОК, Проектный опыт, Вклад в ИТ-образование, Обмен опытом и повышение экспертизы, Продвижение бренда КРОК, Квест 15-19 июля, Поиск и развитие талантов, Другое, Ускорение бизнес-процессов, Croc Voices"
SU107061,ДИРС.группа инженеров систем управления ИТ-процессами,1490.0,6,"Другое, Обмен опытом и повышение экспертизы, Проектный опыт, Корпоративная жизнь КРОК, Поиск и развитие талантов, Квест 15-19 июля"
SU107398,АЭД,1160.0,2,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Другое"
SU107733,ПД.группа комплексного сопровождения проектов,1545.0,1,"Проектный опыт, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Другое, Поиск и развитие талантов"
SU107759,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,1350.0,4,"Проектный опыт, Обмен опытом и повышение экспертизы, Другое"
SU107761,ДИМС.группа инженеров по мультимедийным системам,3320.0,36,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы"
SU107821,ДВА.группа автоматизации производственных процессов,1590.0,6,"Корпоративная жизнь КРОК, Проектный опыт, Поиск и развитие талантов, Обмен опытом и повышение экспертизы"
SU108238,ФД.отдел учета основных средств и нематериальных активов,2015.0,3,"Поиск и развитие талантов, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Другое"
SU108521,ПД.группа комплексного сопровождения проектов,1400.0,2,"Другое, Поиск и развитие талантов"
SU108560,ДПМП.группа отраслевых решений,1450.0,2,"Я и КРОК, Обмен опытом и повышение экспертизы, Другое, Проектный опыт, Поиск и развитие талантов"
SU108638,ДВА.группа аналитиков,1850.0,8,"Проектный опыт, Поиск и развитие талантов, Я и КРОК, Обмен опытом и повышение экспертизы"
SU108758,ФД.отдел налоговой и бухгалтерской отчетности,200.0,1,Я и КРОК
SU108799,Отдел дизайна,250.0,2,"Проектный опыт, Я и КРОК"
SU108823,ДРПО.группа системных инженеров,300.0,6,Проектный опыт
SU1093,ДПМП.группа продаж,200.0,1,Я и КРОК
SU109788,ДРПО.ГИС.росстат.группа тестировщиков,1955.0,21,"Проектный опыт, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Я и КРОК"
SU110106,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,1825.0,2,"Я и КРОК, Проектный опыт, Вклад в ИТ-образование, Croc Voices"
SU110187,ДИМС,1670.0,1,"Я и КРОК, Проектный опыт, Поиск и развитие талантов, Другое, Корпоративная жизнь КРОК"
SU110211,ДИМС.группа СКС и Автоматизации инженерных систем,2900.0,7,"Корпоративная жизнь КРОК, Вклад в ИТ-образование, Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК, Поиск и развитие талантов, Ускорение бизнес-процессов"
SU110288,ДИРС.группа технических менеджеров по вычислительной инфраструктуре,4785.0,35,"Я и КРОК, Корпоративная жизнь КРОК, Проектный опыт, Квест 15-19 июля, Другое, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Ускорение бизнес-процессов"
SU110366,ДВА.группа аналитиков,945.0,4,"Квест 15-19 июля, Я и КРОК, Поиск и развитие талантов, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Проектный опыт"
SU110473,ДРПО.ГИС.цифровые экосистемы.группа разработчиков,655.0,9,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК"
SU111069,ДРПО.Управление контентом и документооборот.группа внедренцев,2925.0,30,"Проектный опыт, Поиск и развитие талантов, Другое, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Я и КРОК"
SU111329,ДМ.группа переводов,2715.0,18,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Я и КРОК"
SU111574,ДВА.группа аналитиков,1115.0,17,"Проектный опыт, Я и КРОК, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы"
SU1118,ДПМП.группа менеджеров по работе с корпоративными клиентами,1040.0,5,"Корпоративная жизнь КРОК, Другое, Квест 15-19 июля, Обмен опытом и повышение экспертизы"
SU112065,ДИРС.Облачные сервисы.группа специалистов поддержки ИТ-инфраструктур,3025.0,1,"Корпоративная жизнь КРОК, Другое, Обмен опытом и повышение экспертизы, Поиск и развитие талантов"
SU112309,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,2580.0,2,"Обмен опытом и повышение экспертизы, Другое, Корпоративная жизнь КРОК, Я и КРОК, Продвижение бренда КРОК, Поиск и развитие талантов, Ускорение бизнес-процессов"
SU112349,ДИРС.Разработка инфраструктурных продуктов.группа продвижения решений,2940.0,2,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Другое, Я и КРОК"
SU112629,ДВА.группа аналитиков 1С,1700.0,17,"Другое, Проектный опыт, Я и КРОК, Поиск и развитие талантов"
SU112713,ДПМП.группа управления проектами и поддержки продаж,1905.0,15,"Я и КРОК, Проектный опыт, Поиск и развитие талантов, Корпоративная жизнь КРОК"
SU112835,ДРПО.ГИС.цифровые экосистемы.группа тестировщиков,1325.0,18,"Проектный опыт, Я и КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов"
SU113189,ДИМС.Группа электроснабжения и климатических систем,3270.0,4,"Проектный опыт, Корпоративная жизнь КРОК, Поиск и развитие талантов, Другое, Вклад в ИТ-образование, Я и КРОК, Croc Voices"
SU113589,Склад,330.0,1,"Другое, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Я и КРОК"
SU114329,ДРПО.Интеграционные решения.группа разработки,655.0,10,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК"
SU114389,ДРП.HR-партнеры,200.0,1,Я и КРОК
SU114390,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,2605.0,5,"Обмен опытом и повышение экспертизы, Другое, Поиск и развитие талантов, Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК"
SU114451,ДПМП.группа продаж,845.0,4,"Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Другое, Я и КРОК, Обмен опытом и повышение экспертизы"
SU114850,ДПМП.группа продаж,1600.0,3,"Поиск и развитие талантов, Я и КРОК"
SU1151,ДРПО.ГИС.цифровые экосистемы.группа технических менеджеров,155.0,2,"Проектный опыт, Корпоративная жизнь КРОК, Другое"
SU115349,ДРП.отдел рекрутинга,805.0,2,"Поиск и развитие талантов, Корпоративная жизнь КРОК, Я и КРОК, Другое"
SU115549,ДБП.группа консультантов по финансам,1200.0,18,"Проектный опыт, Я и КРОК"
SU1156,АЭД.отдел по эксплуатации инженерных систем,400.0,1,"Я и КРОК, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы"
SU115729,ДТК.Сервис.инженеры технической поддержки (аутсорсинг),2135.0,31,"Проектный опыт, Корпоративная жизнь КРОК, Другое, Обмен опытом и повышение экспертизы, Я и КРОК"
SU115929,ДПМП.ОРК,410.0,5,"Корпоративная жизнь КРОК, Другое, Квест 15-19 июля, Я и КРОК"
SU116169,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,1680.0,26,"Корпоративная жизнь КРОК, Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК"
SU116189,ДМ.группа маркетологов,2020.0,11,"Корпоративная жизнь КРОК, Проектный опыт, Обмен опытом и повышение экспертизы, Другое, Я и КРОК, Ускорение бизнес-процессов"
SU116509,ДПМП.группа управления проектами по телекоммуникациям,2825.0,14,"Обмен опытом и повышение экспертизы, Проектный опыт, Другое, Поиск и развитие талантов, Корпоративная жизнь КРОК, Я и КРОК"
SU1166,ДРПО.ГИС.суды. группа разработчиков,740.0,8,"Корпоративная жизнь КРОК, Другое, Проектный опыт, Я и КРОК"
SU117509,"ДРПО.Практика ""Аппаратные решения""",350.0,4,"Проектный опыт, Я и КРОК"
SU117590,АЭД.отдел по эксплуатации инженерных систем,200.0,1,Я и КРОК
SU117735,"ДРПО.Практика ""Аппаратные решения""",835.0,1,"Корпоративная жизнь КРОК, Квест 15-19 июля, Поиск и развитие талантов, Другое, Я и КРОК"
SU117873,ДТК.группа технических менеджеров,1620.0,3,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Я и КРОК, Проектный опыт, Обмен опытом и повышение экспертизы, Другое"
SU117878,ДРП.отдел обучения,550.0,1,"Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Я и КРОК"
SU117892,ДИМС.технические менеджеры по мультимедийным системам,5935.0,29,"Проектный опыт, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Другое, Ускорение бизнес-процессов, Я и КРОК, Поиск и развитие талантов"
SU117930,Отдел подготовки тендеров,980.0,2,"Поиск и развитие талантов, Я и КРОК, Другое"
SU117969,ДВА.группа управления проектами,900.0,13,"Обмен опытом и повышение экспертизы, Проектный опыт, Я и КРОК, Другое"
SU118,ДТК.Группа поддержки продаж сетевых решений,1160.0,8,"Проектный опыт, Другое, Я и КРОК, Корпоративная жизнь КРОК, Ускорение бизнес-процессов"
SU118029,ДТК.Цифровое производство.группа инженеров цифрового производства,1280.0,20,"Проектный опыт, Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Я и КРОК, Другое"
SU118129,ДРПО.ГИС.суды. группа разработчиков,1800.0,11,"Проектный опыт, Я и КРОК, Поиск и развитие талантов"
SU118210,Без компании,2785.0,15,"Корпоративная жизнь КРОК, Другое, Проектный опыт, Я и КРОК"
SU118317,ДРПО.Продуктовый офис,680.0,2,"Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Другое, Я и КРОК, Ускорение бизнес-процессов"
SU118753,ДПМП.группа управления проектами и поддержки продаж,405.0,2,"Корпоративная жизнь КРОК, Я и КРОК"
SU118793,ДВА.группа аналитиков,1810.0,7,"Проектный опыт, Поиск и развитие талантов, Я и КРОК, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы"
SU1192,ДТК.Группа поддержки продаж сетевых решений,2665.0,33,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК"
SU119369,ДРП.отдел кадров,450.0,1,"Корпоративная жизнь КРОК, Я и КРОК"
SU119469,ДТК.Группа поддержки продаж сетевых решений,200.0,1,Я и КРОК
SU119530,Отдел закупок,365.0,2,"Другое, Я и КРОК, Ускорение бизнес-процессов"
SU119629,ДИРС.Разработка инфраструктурных продуктов.группа маркетинга,400.0,5,"Проектный опыт, Я и КРОК"
SU119671,ДИМС.группа инженеров по мультимедийным системам,1650.0,10,"Ускорение бизнес-процессов, Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК"
SU119689,Служба охраны,200.0,1,Я и КРОК
SU1197,ДИМС.Группа электроснабжения и климатических систем,1660.0,4,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК, Поиск и развитие талантов, Другое"
SU1199,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,3575.0,1,"Я и КРОК, Корпоративная жизнь КРОК, Croc Voices, Обмен опытом и повышение экспертизы, Продвижение бренда КРОК, Ускорение бизнес-процессов, Вклад в ИТ-образование, Поиск и развитие талантов, Другое"
SU120251,ДТК.Сервис.группа развития,1600.0,7,"Проектный опыт, Поиск и развитие талантов, Я и КРОК"
SU120569,АЭД.отдел по эксплуатации инженерных систем,1380.0,2,"Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Я и КРОК, Другое"
SU120889,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,1115.0,6,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК, Другое"
SU120932,ФД.отдел бюджетирования и оптимизации финансового учета,815.0,2,"Корпоративная жизнь КРОК, Другое, Ускорение бизнес-процессов, Я и КРОК"
SU120950,"ДРПО.Практика ""Аппаратные решения""",1165.0,15,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК"
SU120993,ДБП.группа консультантов по хранилищам данных и ETL,1545.0,23,"Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК, Другое"
SU120994,ДРПО.Продуктовый офис,1480.0,17,"Корпоративная жизнь КРОК, Я и КРОК, Проектный опыт, Другое, Ускорение бизнес-процессов"
SU121051,ДРПО.ГИС.выборы. группа внедренцев,1925.0,22,"Поиск и развитие талантов, Проектный опыт, Я и КРОК, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы"
SU121094,ДБП.группа консультантов по финансам,2400.0,19,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК, Другое, Квест 15-19 июля"
SU121311,ДРПО.группа развития бизнеса,200.0,1,Я и КРОК
SU121314,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,4405.0,12,"Проектный опыт, Другое, Корпоративная жизнь КРОК, Поиск и развитие талантов, Я и КРОК, Обмен опытом и повышение экспертизы"
SU121334,ДПМП.группа управления проектами по телекоммуникациям,2155.0,10,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Проектный опыт, Я и КРОК"
SU121369,ДРП.Геймификация,655.0,1,"Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Я и КРОК, Вклад в ИТ-образование"
SU121849,ДТК.группа технических менеджеров,1950.0,8,"Проектный опыт, Другое, Поиск и развитие талантов, Я и КРОК"
SU121970,ФД.отдел по расчету с персоналом,2075.0,2,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Другое, Я и КРОК"
SU122055,ДТК.группа унифицированных коммуникаций,200.0,1,Я и КРОК
SU122090,ДРПО.ГИС.выборы. группа разработчиков,280.0,5,"Проектный опыт, Корпоративная жизнь КРОК"
SU122318,ДРПО.ГИС.росстат. группа разработчиков,1915.0,12,"Корпоративная жизнь КРОК, Проектный опыт, Квест 15-19 июля, Поиск и развитие талантов, Я и КРОК"
SU122457,ПД.группа комплексного сопровождения проектов,1350.0,1,"Проектный опыт, Я и КРОК, Обмен опытом и повышение экспертизы"
SU122459,ДПМП.группа менеджеров по работе с корпоративными клиентами,1400.0,1,"Поиск и развитие талантов, Проектный опыт, Я и КРОК"
SU1225,ДРПО.группа развития бизнеса,1310.0,1,"Корпоративная жизнь КРОК, Я и КРОК, Поиск и развитие талантов"
SU1226,ДИРС.группа менеджеров по работе с партнерами,700.0,1,"Я и КРОК, Обмен опытом и повышение экспертизы"
SU122631,ДТК.Сервис.группа техподдержки сетей передачи данных,2005.0,13,"Проектный опыт, Поиск и развитие талантов, Я и КРОК, Корпоративная жизнь КРОК"
SU122792,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,1450.0,8,"Проектный опыт, Поиск и развитие талантов, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы, Я и КРОК"
SU122869,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,1610.0,5,"Корпоративная жизнь КРОК, Квест 15-19 июля, Проектный опыт, Вклад в ИТ-образование, Я и КРОК, Другое"
SU123291,ДРПО.ГИС.цифровые экосистемы.группа разработчиков,1935.0,20,"Проектный опыт, Корпоративная жизнь КРОК, Поиск и развитие талантов, Ускорение бизнес-процессов, Я и КРОК"
SU1238,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,1365.0,6,"Проектный опыт, Другое, Поиск и развитие талантов"
SU1240,ДРПО.группа развития бизнеса,540.0,3,"Корпоративная жизнь КРОК, Я и КРОК, Другое"
SU124069,Отдел подготовки тендеров,980.0,2,"Корпоративная жизнь КРОК, Другое, Я и КРОК"
SU124169,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,2180.0,29,"Проектный опыт, Другое, Поиск и развитие талантов, Я и КРОК"
SU1242,ДРП.отдел кадров,2520.0,5,"Я и КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Квест 15-19 июля, Поиск и развитие талантов, Другое, Корпоративная жизнь КРОК"
